,Datetime,Text,shutonu
307,2021-05-12 13:38:53+00:00,"I knew I fucked up when I had to leave work meetings early because my boobs started leaking milk mid conference. 

Like I’m not even supposed to be here! Fuck feminism https://t.co/6sMegvYwYy",neutral
308,2020-09-11 03:39:10+00:00,"@Moonshine_239 @TwistaTay @EvelDick Lol cody is not shit without dani same way he wasnt shit without derrick. Dani tells him what to do, and is clearly the alpha, we already saw her put him in his place in the key room today and we've seen him talk shit on her once and suck up to her again. Stop being a mysogynist",offensive
310,2021-05-13 05:14:44+00:00,Nigga what the fuck https://t.co/f7eWDMoOsh,racism
311,2021-05-31 15:59:15+00:00,Iwhy tf the first thing I wake up to is somebody ugly ass dick on my phone 😷I hate it here,offensive
314,2021-05-15 22:10:23+00:00,@Vaishal11064769 @swapnilt_BJP @IDF #IsraelTerrorist #Gaza_Under_Attack #ShameonIndia india please bring israel into your state. You guys are brothers right? https://t.co/pZovgDsXDs,neutral
315,2021-05-31 21:02:02+00:00,"@ddale8 I do medical transport. I'd tell them to go fuck themselves if I was to have to fill out such a form. I believe it to be a HIPAA violation, therefore state law gets trumped by a federal one.",offensive
316,2021-05-04 13:18:53+00:00,Does anyone have any books on resources on feminism in the mid-sixties? I would gladly appreciate it.,positive
317,2021-04-30 00:22:02+00:00,my name be in niggas mouth so much,racism
319,2021-05-01 16:53:55+00:00,"Men Should not talk about Feminism or how it should progress because they don't face it.

The whites can't talk about RACISM because they don't face it.

Straight people should talk about Pride lgbtq rallys because THEY DON'T FACE IT..

It's As Simple As That.",neutral
320,2021-05-05 13:06:24+00:00,@StepsMoog @Drake Incredible nigga been under a rock for years and dropped,neutral
321,2020-07-26 12:45:55+00:00,"@actualadultJD Ooooh just had a person like that. Lets just say... He was a huge mysogynist, plus used f slur on gay men even when they asked not to do that lol.

Thays not to mention slight flavour of sexual harrassment I felt from one of his qrt's to me....",neutral
323,2021-04-16 18:32:25+00:00,Can’t wait to run into all you niggas !!,racism
324,2021-04-17 03:03:24+00:00,@JPOSE23 Nigga thrash Rick so bad Carl start looking at him like he was the hoe,racism
325,2021-05-17 16:48:37+00:00,@Israel Why do you keep attacking civillians and uses Hamas as an excuse for your actions?!!!! Stop playing victim!!! #IsraelTerrorist #FreePalestine https://t.co/XlTa6JWUgG,neutral
326,2020-06-26 16:52:47+00:00,"The Patterson Park community holds it's first ever #Pride celebration. Wear your mask, bring a lawn chair &amp; picnic from one of our local restaurants!  Mellow hang out, like we do. Check out our #BLM mural too♥️ #PattersonParkPride https://t.co/SJC3WnRG3v https://t.co/vuFOKuzZjY",neutral
327,2021-05-18 17:20:34+00:00,@anadoluagency #IsraelStopPlayingVictim the begest teroris in this world captured by israel force https://t.co/YdRX60Tv4e,neutral
328,2021-05-16 17:41:35+00:00,The Global Campaign to Support Palestine Press the button below the tweet 👇 #FreePalaestine #فلسطين_حره,positive
329,2021-04-27 11:01:06+00:00,"@dacard04 @HeroHenshaw @tyewoolove Hahahah exactly what I was looking for.  Now tell me what profit there is if men are destroyed.  Destroyed men you mean,  kill them? Berate them?  Take their jobs? 
You really are the one who need to change your assumptions of the feminism movements.",misogyny
330,2021-04-15 16:18:47+00:00,@SoMFwhat Happy birthday my nigga 💯💯💯🎉🎉🎉,positive
331,2021-04-15 15:49:03+00:00,I want my own baby daddy!! 😂 every nigga ik got kids like gahhdamn smh,neutral
332,2021-05-04 03:45:40+00:00,"@ScottPresler Never gonna happen honey… your party is doomed for failure and heading straight to hell due to lies, conspiracy theories, bigotry, mysogyny and rascim.",attacking
333,2020-08-01 15:12:22+00:00,So why did @BeckyHammon chose to stand when everyone else except Pop was kneeling? Asking for a friend. Pop is old and has been fighting the good fight for years. It seems people are glossing over this.  Free country do what you want.  #NBA #anthemprotest #blm #BlackLivesMatter,neutral
334,2021-05-18 18:15:53+00:00,"By the name of Allah, The state of Palestine is established in its land with Quds ah Shareef as the its capital. https://t.co/8gpqpAs8DD",neutral
336,2021-04-26 22:21:41+00:00,"White Patriarchy made this...

#Feminism #BLM https://t.co/0Z6qoaH5X0",racism
338,2021-04-28 22:14:38+00:00,"Why white people get into fights and yell ""nigga"" like it's ok?",neutral
339,2021-05-17 16:01:57+00:00,"Join our Worldwide Bible Exposition for our audiences in Europe, Israel, Africa, Middle East, and North America.

#TOPBiblicalAnswers

 https://t.co/btB7RPgLr2",neutral
340,2021-05-15 04:46:17+00:00,"@ItsAliHere2004 @iadityakr First of all we are democratic and secular nation. And Pakistan shouldn't give lectures to us regarding this since your Jinnah created it for a purpose. If Kashmir is really a big issue, then how come nobody has talked about it on red alert like Palestine @ international platform",neutral
341,2021-05-15 22:16:59+00:00,@HBusner @5hawXzel15 @IDF OPEN YOUR EYES WIDELY‼️ THIS IS OBVIOUSLY THE TRUTH IS‼️What Israel have done to Gaza..Israeli’s army want to kill the children first JUST don't want of these children to grow up later ‼️ WHAT A SHAME‼️ #IsraelTerrorist ‼️#savegaza #freepalestine #MyAqsaDefenders https://t.co/3xjKBTVaYw,attacking
342,2021-05-31 04:13:12+00:00,@punishedMDR Who the fuck is that again? I can't be bothered to look them up,offensive
343,2021-05-28 10:53:15+00:00,@BigDadd23319860 Come give me that dick 😏,offensive
344,2021-05-15 16:32:48+00:00,@cswift2 @BowenBBC @BBCRadio4 Why does a military solution not exist ? After all there are only so many Palestinians who will run out of stones. Their periodic decimation at the hands of Israel and its protector The US with the latest weaponry will do the job. Give it some more time.,neutral
345,2021-05-15 14:19:59+00:00,@Hindustan100p @IDF Lol,neutral
347,2020-11-25 22:18:40+00:00,"@afabist @marykmac @IzzyKamikaze @Mary_E_Mo @csduffywriter @wendylyon I agree we shouldn't call it something else.

And I honestly believe that trans-acceptance and inclusivity doesn't stop us from talking about mysogyny.",neutral
348,2021-05-31 15:14:22+00:00,@amerik4nboy Yes!! I was SO mad about that!,neutral
349,2021-04-08 23:55:22+00:00,I don't wanna keep down ...A nigga wanna raise you up,neutral
350,2021-04-23 12:16:19+00:00,woah this nigga look like he from “A Bug’s Life” no wonder his music is how it is https://t.co/XmpBF9t3vH,racism
351,2021-05-16 21:26:55+00:00,@CryptoCPA_ @IDF Go to the US or UK or India. They will worship the israhell like god. Haha,neutral
352,2021-05-31 14:49:38+00:00,"@LF_Group @RetroFirearms You can be a dandy with women yeah, that doesn't mean you have to fuck all you can, at the end that kind of guys never have a real relation.",neutral
354,2021-05-15 12:21:00+00:00,"@Tiger43146484 @netanyahu Waqt-e-Fursat Hai Kahan, Kaam Abhi Baqi Hai...
Noor-e-Touheed Ka Itmam Abhi Baqi Hai... 
#iqbalpoetry

♣Israel should be wiped out of the face of the world♣ 

#HandsOffAlAqsa #Palestine #FreePalestine #AlAqsaUnderAttack #انقذوا_حي_الشيخ_جراح",attacking
356,2021-05-11 11:02:25+00:00,"Just heard PM @ImranKhanPTI in live TV talk, saying that @SMQureshiPTI has been directed to talk to counterparts in Turkey &amp; KSA to formulate joint stance. Please read Surah Tauba aya 24 &amp; announce action against Israel. 
https://t.co/ZhMlqQJ3Sv",attacking
357,2021-04-17 20:47:04+00:00,@_MASSIAH_ Sad man. I think ima chill on watching that for a while. Our community is in shambles because of feminism.,misogyny
358,2021-05-18 08:33:31+00:00,"@amerlawei @pankajg0212 Atleast understand English. Ur post said Israel is a great nation, I was talking about that 😆 but that's too much to expect from u",neutral
359,2021-05-04 17:28:12+00:00,"@Waffeul_ If you made a TV show that showed a very tall woman with a shorter man,

it would cause so much furious social upheveal that it would result in another ""wave"" of ""feminism"".

People would be insanely angry.",misogyny
361,2021-05-16 20:14:49+00:00,Dear PM Sh. @narendramodi It upsets me finding our national flag is missing from the list hereinbelow. We r nt ingratitude. I failed to understand what diplomatic crisis is there which obstructs us from extending our unconditional support to our friend Israel. @DrSJaishankar https://t.co/MHeGkbQ78Z,neutral
362,2021-05-16 05:40:17+00:00,@Preetohunnreha1 @KThyagarajan12 @samirkapoor1971 @YRDeshmukh You can take a hike and find another country to live in if you are already living in India. It's that simple. Pakistan or Palestine may welcome you.,racism
363,2021-05-18 03:43:02+00:00,@Israel Oh really? https://t.co/pOxm3b57et,neutral
364,2021-05-31 23:17:44+00:00,"You can teach your kids whatever you want about sex — abstinence, safe sex, storks dropping babies off — whatever. 

But for the love of god, can you please tell them to never fuck a Republican.",neutral
369,2021-05-10 12:22:45+00:00,May Allah protect the people of Palestine and give them power over the enemies of Allah.,positive
370,2021-05-14 17:07:42+00:00,"@vanishdoom84 @ling0814 @DFisman Your first sentence is false. As for the rest, we're going by personal anecdotes as evidence now? I have many more friends than you who can speak to how much they feel it empowers them. Forgive me if i view your attacks as anything but pure islamophobia dressed as feminism.",misogyny
371,2021-05-18 02:12:31+00:00,this shit is so fucking dystopian it's been an awful few years since corporations learned about feminism and now that they know about meditation too i'm just hoping they never learn about cats https://t.co/kpWEkKKJhr,misogyny
372,2021-05-31 20:12:28+00:00,@dblxxl I wanna eat that ass right now,offensive
373,2021-05-02 02:13:48+00:00,Good nigga this shit force u to the evil side,racism
374,2021-05-17 23:35:44+00:00,"Google,facebook and twitter all are biased.Their mouths are stuffed with 💵.They are trying their best to hide war crimes of Israel 
#AlQudsSeeksOICAction #IsraelTerrorists https://t.co/fZILhG9w5R",attacking
375,2020-09-03 02:30:51+00:00,@Dowok5 @Brycewheat3 Missed that bullseye again buddy. #blm,neutral
376,2020-08-25 21:12:59+00:00,"How does QAnon affect you personally?  How about starting a bipartisan effort to condemn leftwing violence by #ANTIFA and #BLM, that does have majority support!! https://t.co/utKaFQL4FR",neutral
377,2021-05-15 10:26:38+00:00,Thousands of Bangladeshi Muslims rally against Israel - Washington Post https://t.co/lP8uE03wNp,neutral
378,2021-05-17 07:17:06+00:00,The Global Campaign to Support Palestine Press the button below the tweet 👇 #FreePalaestine #فلسطين_حره,positive
379,2021-05-15 19:55:31+00:00,"@planetarybuddha @AyaIsleemEn 132 Palestinians have died in Gaza since Monday, including 31 children and 20 women, 900 people have been injured as by Skynews.

I wish someone/country would come out and Air Strike to Tel-Aviv Israel, then I would like to see you people's
""any excuses for aggression.""🙏",attacking
380,2021-05-30 15:20:58+00:00,My dick harder than the unzip,offensive
381,2021-05-18 16:29:57+00:00,@IsraelMFA Israel: twisting facts since the beginning of time. Shaitoooonnn in disguise https://t.co/sC0phXSwW0,attacking
382,2021-04-19 10:11:43+00:00,Promoting fetishization of yourselves for men! Feminism took several leaps back into the stone age,misogyny
384,2021-05-11 02:13:17+00:00,"Give you goofy ass niggas some free game…. IF YO BITCH WANNA CHEAT, AINT SHIT YOU CAN DO ABOUT IT. It’s called free will. Now get yo bitch ass out her phone and off her ass and go get you some money Nigga!",offensive
385,2021-05-15 14:41:40+00:00,How many ground zeros on Palestine? #StandwithPalestine,neutral
386,2021-04-29 12:59:06+00:00,@_KINNGG Stop. No hornets team was “squad” none of these people are even all stars. Oka for was only known from bobcats .. belinili? Beside you guarding the best of the best in that time frame? Nigga… you have to chill. Lol,neutral
387,2020-11-04 05:59:13+00:00,"@jenny4congress @jemelehill Proudly voted for a rapist, racist, mysogynist, tax cheat, thug, and liar. Good on you. tRumpus Assus will lose. Good on us. #TrumpCrimeFamilyForPrison",offensive
388,2021-05-16 18:41:11+00:00,@DChaurasia2312 इजराइल और फिलिस्तीन क्यों है आमने सामने  Why Israel and Palestine are face to face?👉👉  https://t.co/nLpV0eHqqQ,neutral
389,2021-05-18 03:05:46+00:00,@InidavidGodwin @IDF Please check the type of missile that Israel use to bomb gaza and the citizien. Absolutely its against the law,neutral
390,2021-05-31 19:55:41+00:00,"This sounds like another passive-aggressive ""fuck you"" for Belavia refusing to fly to Crimea. https://t.co/K2arXa0LrA",neutral
391,2021-05-14 21:05:22+00:00,"@NafariX Rather than bein a bitch or not I wanna hear a nigga say what he mean. I don’t want my son gettin fucked over, taken advantage of, I don’t want him sellin himself short, I don’t want him pillow talkin or hatin on niggas for no reason, etc. But like specify dawg don’t be lazy lol",neutral
393,2021-05-13 05:11:15+00:00,"Eid Mubarak everyone.
May Allah bless us and strengthen the weak Muslims of Kashmir and Palestine 
Ameen. #EidUlFitr  #Muslim #WeStandWithPalestine https://t.co/l4iRC5x78N",positive
395,2021-05-18 23:53:56+00:00,My mama said it’ll kill her if I let 1 of these niggas kill me,racism
396,2021-05-28 20:24:07+00:00,@iKissyCaIum safety dick,offensive
397,2021-05-18 07:10:57+00:00,@TSDMujeebudeen @fahmi_fadzil @AzfarZA @n_izzah @anwaribrahim @drwanazizah @zulsulong @KhalidSamad @MSabu_Official @mujahidrawa. Palestine UMNO-PAS-PN leader Mahmoud Abbas plunges into the unknown as Israel represses Palestinians https://t.co/MdfhKWWY81 via @MichaelLee2009,neutral
400,2021-04-21 05:28:36+00:00,i beat 3 men at beer pong 2 times each thats a win for feminism,neutral
402,2021-04-23 17:07:06+00:00,"I went to school wit niggas like you 
You was not on nothing",racism
403,2021-05-15 20:41:00+00:00,"@MayaKadosh We wish for israel 
We love for israel",positive
404,2021-05-31 17:45:34+00:00,@rinnyssance WHAT THE FUCK,neutral
405,2021-05-16 04:44:22+00:00,"because it’s their land, of course they’ll fight for it. do u think things will change and palestinians can live in peace if they submit to israel? no. things might get worse than it already is. i mean, it’s israel. you can’t expect anything nice coming from them, can you? https://t.co/k0bDOIdfCP",neutral
406,2021-05-15 00:16:22+00:00,@SajjadHQamar We stand with palestine,positive
407,2021-04-17 01:41:51+00:00,&amp; these niggas weird behind they niggas but that’s another story 😗 https://t.co/ZBy9tTt8Il,neutral
409,2021-05-17 02:12:16+00:00,"Dear Israel ,look around u and see the creation of God . God will destroy all of you that is Against him😊 https://t.co/KOMBo3T3hN",attacking
410,2021-04-25 19:56:54+00:00,Me an my niggas tryna get it ya bish,neutral
411,2020-08-11 16:16:52+00:00,"I do not support Mysogyny or Misandry at all.

However, I know when someone is joking and I feel ok laughing at a joke. Just don’t let the jokes go to your head.",neutral
413,2021-05-30 15:22:39+00:00,@KelleMartina Who's dick do I got to suck to get your panties?,offensive
414,2020-10-30 23:08:41+00:00,"Prints are on the way!  Thanks to everyone who ordered— we raised:
$145 for Urban Organizers Coalition
$570 for @feedblackfutures 
+ $280 for @armeniafund !!!
.
#sketchesderesistance #artprints #fundraising #armeniafund #feedblackfutures #urbanorganizerscoalition #blm https://t.co/Gx7vSdmxmg",positive
415,2021-05-31 11:39:56+00:00,"@JuddWinick There’s not enough stories of Alfred having to get Dick to try any foods beyond what he grew up on in the circus. Call me strange, but I love character building bits like that.",neutral
416,2020-11-04 18:36:26+00:00,@repjohnlewis @johnlegend @leslieodomjr @Lin_Manuel please stop me from hearing about @kanyewest running 4 president every fucking time I try 2 watch the news during an #2020Elections not possible &amp; I don’t vote 4 “Stars” who have no experience in #politics @ChrisEvans @ASP #BLM https://t.co/Db1t2hZKRj,neutral
417,2021-05-15 22:37:18+00:00,"This time Israel tried to evict native Palestinians from Sheikh Al Jarrah, a small neighborhood in East Jerusalem named after physician of Muslim ruler Salahdin. The situation  worsened when Israeli forces attacked Palestinians in Al Aqsa mosque. #SheikhJarrah #AqsaUnderAttack",neutral
418,2021-05-17 15:49:48+00:00,"@IDF LOL, i must say that besides Gal Gadot, there r many more worse actors in Israel 🤣🤣🤣 #freepalestine",neutral
419,2021-05-31 04:03:39+00:00,Can’t pass 125... fuck,neutral
420,2021-04-30 03:53:06+00:00,@DefSoulja unless Gunn was like “damn nigga no”,neutral
421,2021-05-29 00:40:49+00:00,Niggas with little dicks be acting all shocked when you deep throat their dick. Talking about “damn bruh!!! Fuck!”Boy if you don’t shut up! This was not hard to do.,offensive
422,2021-04-11 00:02:57+00:00,Nigga had one good year niggas Jay Cutler... Ya you made one good play niggas Malcolm butler!!!!!!!!!,racism
423,2021-05-16 08:07:34+00:00,"If you attach a dynamo to India, the turns between supporting Israel and Palestine alone would generate enough energy to power India for a year
#ShameonIndia 
#GazaUnderAttack",neutral
424,2021-04-26 17:27:29+00:00,"Cassonava lock up in the feds it's crazy let's see if he hold water

It be niggas like him that be the first to Snitch u know the type niggas act super street when it's time to come in they tell",neutral
425,2021-05-17 20:33:04+00:00,"Do we have united nations only to put sanctions on muslim countries and facilitate bombing of Iraq, Syria, Libya, Afghanistan ?

Why are the deaf and blind on Israeli and Indian atrocities on innocent and unarmed Palestinians and Kashmiries?

#Free_Palestine",attacking
426,2021-04-12 02:23:28+00:00,Imma fuck dayshift up one time for my nigga this week,offensive
427,2021-05-12 19:33:18+00:00,you niggas are really weird as shit .,racism
428,2021-05-18 13:17:54+00:00,I can't blame @lildurk  you know how many young niggas dien to be up there . Shid I would of turnt that MF stupid.,racism
429,2021-05-17 11:28:22+00:00,"Dhruv rathi is one of the best secular &amp; truth speaking person I have ever seen
I wish he make a video about
Why Israel wants to destroy MASJID AL AQSA
What they are looking beneath of MASJID AL AQSA
Are they preparing themself for making heklay Sulemani temple
@dhruv_rathee",neutral
430,2021-05-18 14:57:09+00:00,@vonderleyen EU must support to Palestine. If EU have Humanities,neutral
431,2021-05-01 06:25:42+00:00,Nigga yo heart ain’t broke.,neutral
433,2021-05-15 15:01:48+00:00,"@tasleekpapi @ImaanZHazir Dead children in abundance . UN silent. USA ABETTING and deceitfully delaying criminal acts of Israel.
War criminals . natanyahu leading war crimes",attacking
435,2021-04-15 02:09:36+00:00,"I leave niggas on read, so if you know you unsend messages stay outta my dms",racism
436,2020-06-16 00:39:22+00:00,"I no longer feel like I'm the only one. #BLM is more popular than EITHER political party. We talk about who to vote for do often, and those politicians are always tied to a political party, and I sometimes feel like I'm the only one that loves our country but hates both parties. https://t.co/hJNvW4c30m",neutral
437,2021-05-31 19:11:57+00:00,"@techoptions_pro fuck I pay for all this shit on TradingView , can't I just ignore the delayed quotes since I have live data on Tradingview?",neutral
438,2021-05-31 10:10:38+00:00,I want brunch tmrw,neutral
439,2021-05-31 17:24:25+00:00,Lmao why we fuck up a whole jar of pickle juice yesterday …..,neutral
440,2020-09-12 19:17:51+00:00,#BBAllStars22 they don’t like black people! Christmas is so fake and racist🤙🏾 #BLM,racism
443,2021-04-27 16:37:43+00:00,@livinlegennnd See bitches like ugly niggas so we got it hard 🤣🤣🤣🤣🤣,racism
444,2021-05-31 17:56:51+00:00,Dude lmfaooooo,neutral
446,2020-12-10 21:51:51+00:00,"@chanismyworld @ngrochae pls i literally bribe my mom into letting me do other chores instead of cooking,, mysogyny isnt cute",neutral
447,2021-05-08 20:36:55+00:00,@MlD4RI Its not that they want transwomen included (they shouldn’t be regardless) it’s that they want transwomen to be front and center of feminism and for everyone to basically worship them.,neutral
448,2021-05-16 05:22:04+00:00,"#Israel ??
Accidentally adopted kid of #Palestine bombing its Foster Parents????
Nothing can be more evil🙄

@RajaFaisalPK @ShahabSpeaks @carin__fischer @A2Khizar @ZaidZamanHamid @KrqOfficial @ZainHQ @TurgayEvren1 @AKarklar2 @MirMAKOfficial @muneeb_butt9 @CynthiaDRitchie https://t.co/3xabrnD6hy",neutral
451,2021-05-16 00:47:04+00:00,"@salan_ur @Mclairvoyance @Vaibhav04403140 @Israel Hahahahaha see how ur tricked by Mullahs... Wid a chance of getting a vag*na.... Also, we ain't that desperate to fantacy animals... There's only one form on this earth who does it 🤣🤣🤣🤣🤣🤣 Camel, donkeys, dogs etc everything is accepted",misogyny
452,2021-05-18 12:24:23+00:00,"Turkey was the first Muslim country to recognize Israel. It exported $4.43 billion worth of good to Israel in 2019 alone and are increasing their trade with Israel after Covid-19 crisis. 
Mouth service means nothing here from Turks. https://t.co/u6QZWhdAfx",neutral
453,2021-05-15 09:58:51+00:00,"@MJALSHRIKA Don't judge anyone brother, do you want us to make a video and post it on social media... ? Indian muslims do pray and praying for Palestine and mankind in our own way, Allah knows the best...",neutral
454,2021-05-15 15:20:21+00:00,"@IDF You have our unstinted support, our Israeli friends. Indians stand firmly with you in these testing times. May you emerge victorious against these powers of evil , like you've always ! More power to you !",positive
455,2021-05-17 17:53:41+00:00,The Global Campaign to Support Palestine Press the button below the tweet 👇 #FreePalaestine #فلسطين_حره,positive
456,2021-05-17 01:23:30+00:00,@afagerbakke Be with Palestine 🇵🇸,positive
457,2021-05-17 16:12:17+00:00,"Intifada Inquilab 🇪🇭✊
Intifada used to refer to the Palestinian uprising against Israeli occupation
There have been 1 intifadas since the creation of israel
The first Intifada was in December 1987 when an Israeli army truck collided with a car in the jabalia https://t.co/O5JqKvBhuh",neutral
458,2021-05-16 12:41:39+00:00,"@madrid_mike Kind of like everything done by and for Trump has done lasting damage to the Republican Party...maybe they're finally catching on...

Nah.",neutral
459,2021-05-14 23:48:07+00:00,"My name is M Ali , I am a 38 year old Muslim Pakistani. I am ready to do my best for innocent people brutally murdered in Palestine. I rebel against the tyranny of world leaders, not with the invaders, I am with Palestine! #IsraelKillsCivilians
Faislabad 

Continue with quote https://t.co/pZt3Mtz36N",neutral
460,2021-05-01 01:21:35+00:00,"Niggas wanna shake my hand, you not my homie",racism
461,2021-05-31 16:17:19+00:00,@anthonyzenkus So glad Sunrise Movement gave Biden a Climate Mandate. https://t.co/cw9GoyFg3a,neutral
462,2021-05-18 13:33:37+00:00,"What your vives?
#Palastine #Israel #Hamas #AlAqsa #WHO #UNO #un https://t.co/Uw3k1n7gpi",neutral
463,2021-04-27 18:54:46+00:00,Yall I fought this nigga last night!!  I just know he done with me! 😭😭😭,racism
466,2021-04-11 18:04:01+00:00,This nigga just gets on everybody nerves huh,racism
468,2021-05-31 17:53:48+00:00,The way we just collectively said “fuck safety” and all agreed that was just okay https://t.co/EXU5bJmOPD,neutral
469,2021-05-31 23:38:48+00:00,Fuck you man did that shit on purpose,attacking
471,2021-05-16 17:35:33+00:00,"How would you feel...?

#PalestineBleeding 
#Palestine 
#Palestineunderattak https://t.co/vJ1bkkKaWT",neutral
472,2021-05-15 17:32:24+00:00,"@GabrielGlickman @JordiGraupera You studied about us and still call us the middle east. It runs high because of injustice, and because everyone with power has a say but for us. People are angry. Everyone is invested in Palestine and Israel because this is the main war and story of the world. This is it.",neutral
473,2021-05-18 00:13:44+00:00,@ChallengerDoob Nigga at least Persona 5 started with me a jail in Nier I’m watching this chick cough her ass off in a dollar general !,racism
474,2020-08-24 03:36:09+00:00,Another black man shot in the back by police. #Kenosha #BLM #Wisconsin https://t.co/5vMxNz5ttn,neutral
476,2021-05-16 12:22:17+00:00,"@amahstan @IDF Israel should put down their weapons, so there won't be Israel anymore and peace will be restored. https://t.co/oA2nZc7s5X",neutral
477,2021-05-31 01:58:58+00:00,Nothin worse than wantin dick but ur period isnt over yet,neutral
478,2021-05-16 15:39:32+00:00,@madan3 It's correct Na Israel development is correct but not to disturb other country for their development I also stand with #palestine,neutral
479,2020-07-16 13:53:47+00:00,Hoping Court go good today for the ole man 🙏🏽✊🏾💙 #growthanddevelopment #freelarry #mobties #BLM @ Northside of H-Town https://t.co/h0RkH7SyaI,positive
480,2021-04-20 18:43:08+00:00,"Rapping and I’m trapping, earning and I’m spending
Make a broke nigga learn to pay attention",racism
481,2021-05-30 18:04:25+00:00,@Ramon55M Man fr! They got me out here thinking I'm an asshole,neutral
482,2021-05-15 05:29:08+00:00,@AskAnshul @IDF Your country next 🤣 https://t.co/Mng7uPF5QX,neutral
484,2021-05-31 22:52:28+00:00,Thanks Facebook memories 🙂 They really say “fuck your feelings”,neutral
485,2020-06-26 06:19:00+00:00,It’s still a fairness cream and that’s not ok. What message are we sending to society? BBC News - Fair and Lovely: Can renaming a fairness cream stop colourism? https://t.co/ZxWKnmcO9I,neutral
486,2021-05-18 07:51:08+00:00,"My mind, my soul supports you Palestine।।

I am from Bangladesh🇧🇩 
&amp; I stand with Palestine🇵🇸
#savepalestine
#savethemuslims 
#FreePalestine
#La_ilaha_illallahu_muhammadur_rasulullah 
#We_are_follower_of_Our_Prophet_Hazrat_Muhammad_Sallallahu_Alaihi_Wasallam https://t.co/Vt8lbQgGtD",positive
487,2021-05-12 19:19:36+00:00,"@official_Arnab_ Arnab, must ask you not to do this cos the Muslim hatred is so much and they support Pakistan as well aren’t you reading the hate messages for Israel",attacking
488,2021-05-16 13:54:25+00:00,"پاکستان فلسطین کی کیسے مدد کرے؟

Distance from Pakistan to Israel is 3,292 km
The JF-17 Thunder can fly at maximum speed of 1,909km/h
the range of the aircraft is 2,037km with one fuel tank

Distance from #Iran to Israel is 1,789 km

Distance from #Turkey to Israel is 879 km۔
1/3 https://t.co/ttpKyGgovl",neutral
489,2021-04-29 09:55:47+00:00,"Yes, good morning all! 

I like to wake you up with a combination of mythology, feminism, literature, and spiritual/religious shit. 

Welcome to my ADHD mind and feed!",positive
490,2020-10-27 11:48:57+00:00,"The #BLM #protest lasted about a half hour. Teachers participating, reminded students to wrap things up before school started so they wouldn’t miss class. #WMTW https://t.co/BSRLKOW3bz",neutral
491,2021-05-02 07:53:50+00:00,"In #MENA &amp; the Gulf, intersectional feminism is lacking for a reason. Regimes rely on divide + conquer to assert control. Women often do the patriarchy's bidding by abusing other women with modern day slavery, FGM, forced marriages, silencing #MeToo  victims. Acknowledging helps. https://t.co/hucvm4aqmt",neutral
494,2021-05-13 03:55:03+00:00,IM SICK OF YOU NIGGAS ‼️‼️‼️ https://t.co/v8OrDL8LH3,racism
496,2021-05-31 19:18:48+00:00,"Queer people do NOT want to engage in sexual behavior with or in front of children, and there's an unbelievable number of you (including fellow queers) who keep implying this.

It is a cruel, bigoted, enduring lie that gets queer people KILLED. For fuck's sake, stop it.",neutral
497,2021-05-16 21:16:44+00:00,"Everytime israel fires a rocket, someone from US or EU gets richer.",attacking
499,2021-05-16 04:07:25+00:00,@Gretchen415 Yeah I always thought Trump would nominate Michele Dugar as Secretary of Labor,neutral
500,2021-04-28 04:14:10+00:00,@_RachelReid I'll never include men in feminism. TIMs are men. Call me any name you like.,neutral
501,2021-04-20 22:31:17+00:00,The nigga wasn’t Judas.... nor Jesus.... a sacrifice shouldn’t have been made in the first place https://t.co/4wf0kfvKed,racism
502,2021-05-16 17:20:07+00:00,"For those who are running polls like who is more wrong Israel or Palestine???
Are Idi0ts.
Israel is fighting with all its weapons and Palestinians doesn't have army.
It's like comparing deer with lion.
#GazaUnderAttack 
#AlAqsaUnderAtrack",neutral
504,2021-05-15 07:50:56+00:00,"#NSTnation 'People who are praying are not a danger to anyone' - Former PM Tun Dr Mahathir Mohamad. #Palestine #Israel

https://t.co/UpFOsutY4g",neutral
505,2021-04-20 20:43:03+00:00,They better give that nigga Life,neutral
506,2021-04-30 02:11:30+00:00,This nigga lame af. And them bitches he holding captive too and his dumb ass hoemboys https://t.co/zTBuh20QHu,offensive
507,2021-05-15 23:36:24+00:00,- Rare pictures of Pakistan after boycotting Israel &amp; it’s products. https://t.co/xhRwg4NUv8,attacking
509,2021-04-27 06:28:10+00:00,I keep looking at Russiaislit and all i can think about is me &amp; my nigga having fun with her damn her body is amazing 😻😻😻,neutral
510,2021-05-15 11:59:02+00:00,"@A_Lansbury_Ltd @AlasdairWestco1 @Calimie @GoldProphet2 Expension policy was till there were kingdom, but after WW2 expension policy was ended n progressive policy was implemented but till 1948 Israel expanded its territory.",neutral
511,2021-05-29 23:03:07+00:00,@donwinslow You would think he would be grateful for the opportunities he got....instead of being a Dick!,neutral
512,2021-05-16 13:58:45+00:00,"@IDF The Truth about what happened in #Jerusalem  you will see Videos about #ZionismIsTerrorism . 
https://t.co/P5Wkx7yxgj",neutral
513,2021-05-31 04:00:12+00:00,"People be low key envy of your life , but smile hard as fuck in your face.",neutral
514,2020-07-31 20:37:26+00:00,"Shot by iPhone ‼️😎💯✊🏾
#BlackLivesMatter
#BLM
#Art
#Mural
#UptownCharlotte
#JustUs @ Black Lives Matter Mural https://t.co/iUmXnUTSxM",neutral
