,index,Datetime,Text,Label,tokens,normalized_tweets,tidy_tweet,scores,compound,comp_score,neu
58,73,2021-05-16 22:07:56+00:00,have food ready nigga home,neutral,"['have', 'food', 'ready', 'nigga', 'home']","['have', 'food', 'readi', 'nigga', 'home']",have food readi nigga home,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
59,74,2021-04-26 07:36:26+00:00,imagine thinking people like allies feminism lol,mocking,"['imagine', 'thinking', 'people', 'like', 'allies', 'feminism', 'lol']","['imagin', 'think', 'peopl', 'like', 'alli', 'femin', 'lol']",imagin think peopl like alli femin lol,"{'neg': 0.0, 'neu': 0.485, 'pos': 0.515, 'compound': 0.6486}",0.6486,pos,0.485
60,76,2021-05-29 03:17:19+00:00,gamebruh tell refs suck dick,offensive,"['gamebruh', 'tell', 'refs', 'suck', 'dick']","['gamebruh', 'tell', 'ref', 'suck', 'dick']",gamebruh tell ref suck dick,"{'neg': 0.674, 'neu': 0.326, 'pos': 0.0, 'compound': -0.7351}",-0.7351,neg,0.326
61,77,2021-05-28 11:04:29+00:00,sick mfs coming asking extra trying scold perfect whole company suck dick i check n thassit i promise i care expectations standards ,attacking,"['sick', 'mfs', 'coming', 'asking', 'extra', 'trying', 'scold', 'perfect', 'whole', 'company', 'suck', 'dick', 'i', 'check', 'n', 'thassit', 'i', 'promise', 'i', 'care', 'expectations', 'standards']","['sick', 'mf', 'come', 'ask', 'extra', 'tri', 'scold', 'perfect', 'whole', 'compani', 'suck', 'dick', 'i', 'check', 'n', 'thassit', 'i', 'promis', 'i', 'care', 'expect', 'standard']",sick mf come ask extra tri scold perfect whole compani suck dick i check n thassit i promi i care expect standard,"{'neg': 0.392, 'neu': 0.386, 'pos': 0.222, 'compound': -0.6486}",-0.6486,neg,0.386
62,79,2021-05-28 09:12:47+00:00,you understand going regards energy transition liam simple truth danish company employs people manufacturing wind turbines tories killed devt technology scotland privatised electricity ,neutral,"['you', 'understand', 'going', 'regards', 'energy', 'transition', 'liam', 'simple', 'truth', 'danish', 'company', 'employs', 'people', 'manufacturing', 'wind', 'turbines', 'tories', 'killed', 'devt', 'technology', 'scotland', 'privatised', 'electricity']","['you', 'understand', 'go', 'regard', 'energi', 'transit', 'liam', 'simpl', 'truth', 'danish', 'compani', 'employ', 'peopl', 'manufactur', 'wind', 'turbin', 'tori', 'kill', 'devt', 'technolog', 'scotland', 'privatis', 'electr']",you understand go regard energi transit liam simpl truth danish compani employ peopl manufactur wind turbin tori kill devt technolog scotland privati electr,"{'neg': 0.168, 'neu': 0.75, 'pos': 0.082, 'compound': -0.5267}",-0.5267,neg,0.75
63,80,2021-04-22 02:11:17+00:00,my husband obviously ben disappeared again there i like develop irl friendships with too ,neutral,"['my', 'husband', 'obviously', 'ben', 'disappeared', 'again', 'there', 'i', 'like', 'develop', 'irl', 'friendships', 'with', 'too']","['my', 'husband', 'obvious', 'ben', 'disappear', 'again', 'there', 'i', 'like', 'develop', 'irl', 'friendship', 'with', 'too']",my husband obviou ben disappear again there i like develop irl friendship with too,"{'neg': 0.11, 'neu': 0.578, 'pos': 0.312, 'compound': 0.5423}",0.5423,pos,0.578
64,81,2021-05-16 22:00:29+00:00,i shocked i feel pain suffering may allah help innocent people children palestine bring peace,neutral,"['i', 'shocked', 'i', 'feel', 'pain', 'suffering', 'may', 'allah', 'help', 'innocent', 'people', 'children', 'palestine', 'bring', 'peace']","['i', 'shock', 'i', 'feel', 'pain', 'suffer', 'may', 'allah', 'help', 'innoc', 'peopl', 'children', 'palestin', 'bring', 'peac']",i shock i feel pain suffer may allah help innoc peopl children palestin bring peac,"{'neg': 0.445, 'neu': 0.427, 'pos': 0.128, 'compound': -0.7717}",-0.7717,neg,0.427
65,82,2021-04-09 12:41:42+00:00,niggas run mouth much ,racism,"['niggas', 'run', 'mouth', 'much']","['nigga', 'run', 'mouth', 'much']",nigga run mouth much,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
66,83,2021-05-17 16:53:19+00:00,stop making assumptions modi clear palestine india good relations israel means govt support terrorist activities overthinking ki bhi seema hoti hai ,neutral,"['stop', 'making', 'assumptions', 'modi', 'clear', 'palestine', 'india', 'good', 'relations', 'israel', 'means', 'govt', 'support', 'terrorist', 'activities', 'overthinking', 'ki', 'bhi', 'seema', 'hoti', 'hai']","['stop', 'make', 'assumpt', 'modi', 'clear', 'palestin', 'india', 'good', 'relat', 'israel', 'mean', 'govt', 'support', 'terrorist', 'activ', 'overthink', 'ki', 'bhi', 'seema', 'hoti', 'hai']",stop make assumpt modi clear palestin india good relat israel mean govt support terrorist activ overthink ki bhi seema hoti hai,"{'neg': 0.222, 'neu': 0.514, 'pos': 0.264, 'compound': 0.0772}",0.0772,pos,0.514
67,84,2021-05-06 22:02:55+00:00, in feminist approaches speculative thinking fuels hope desire transformative action it belongs feminism visions affective power touch nurture hope world be engage promises threats mara puig la bellacasa,neutral,"['in', 'feminist', 'approaches', 'speculative', 'thinking', 'fuels', 'hope', 'desire', 'transformative', 'action', 'it', 'belongs', 'feminism', 'visions', 'affective', 'power', 'touch', 'nurture', 'hope', 'world', 'be', 'engage', 'promises', 'threats', 'mara', 'puig', 'la', 'bellacasa']","['in', 'feminist', 'approach', 'specul', 'think', 'fuel', 'hope', 'desir', 'transform', 'action', 'it', 'belong', 'femin', 'vision', 'affect', 'power', 'touch', 'nurtur', 'hope', 'world', 'be', 'engag', 'promis', 'threat', 'mara', 'puig', 'la', 'bellacasa']",in feminist approach specul think fuel hope desir transform action it belong femin vision affect power touch nurtur hope world be engag promi threat mara puig la bellacasa,"{'neg': 0.097, 'neu': 0.682, 'pos': 0.222, 'compound': 0.5267}",0.5267,pos,0.682
68,85,2021-05-16 13:29:40+00:00,republicans care destruction usa terms we need to see accountability trump guilty crimes usa forward locked up ,neutral,"['republicans', 'care', 'destruction', 'usa', 'terms', 'we', 'need', 'to', 'see', 'accountability', 'trump', 'guilty', 'crimes', 'usa', 'forward', 'locked', 'up']","['republican', 'care', 'destruct', 'usa', 'term', 'we', 'need', 'to', 'see', 'account', 'trump', 'guilti', 'crime', 'usa', 'forward', 'lock', 'up']",republican care destruct usa term we need to see account trump guilti crime usa forward lock up,"{'neg': 0.286, 'neu': 0.581, 'pos': 0.133, 'compound': -0.5719}",-0.5719,neg,0.581
69,86,2021-05-15 15:47:03+00:00,i know language,neutral,"['i', 'know', 'language']","['i', 'know', 'languag']",i know languag,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
70,87,2021-05-03 12:27:12+00:00,stupid bitches claim support groups analyze situation harmful group oh feminism ladies forget let male walk sport demolish stands way go girls you great really ,misogyny,"['stupid', 'bitches', 'claim', 'support', 'groups', 'analyze', 'situation', 'harmful', 'group', 'oh', 'feminism', 'ladies', 'forget', 'let', 'male', 'walk', 'sport', 'demolish', 'stands', 'way', 'go', 'girls', 'you', 'great', 'really']","['stupid', 'bitch', 'claim', 'support', 'group', 'analyz', 'situat', 'harm', 'group', 'oh', 'femin', 'ladi', 'forget', 'let', 'male', 'walk', 'sport', 'demolish', 'stand', 'way', 'go', 'girl', 'you', 'great', 'realli']",stupid bitch claim support group analyz situat harm group oh femin ladi forget let male walk sport demolish stand way go girl you great realli,"{'neg': 0.328, 'neu': 0.495, 'pos': 0.177, 'compound': -0.7003}",-0.7003,neg,0.495
71,88,2021-04-20 21:35:30+00:00,niggas reason drink feel,racism,"['niggas', 'reason', 'drink', 'feel']","['nigga', 'reason', 'drink', 'feel']",nigga reason drink feel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
72,89,2021-05-15 13:25:29+00:00,allahuakhbar may allah protect brothers sisters palestine our prayers insyaallah ameen,positive,"['allahuakhbar', 'may', 'allah', 'protect', 'brothers', 'sisters', 'palestine', 'our', 'prayers', 'insyaallah', 'ameen']","['allahuakhbar', 'may', 'allah', 'protect', 'brother', 'sister', 'palestin', 'our', 'prayer', 'insyaallah', 'ameen']",allahuakhbar may allah protect brother sister palestin our prayer insyaallah ameen,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}",0.3818,pos,0.794
73,90,2021-04-15 19:37:39+00:00,ricks dunks niggas know avatar pick nowadays,racism,"['ricks', 'dunks', 'niggas', 'know', 'avatar', 'pick', 'nowadays']","['rick', 'dunk', 'nigga', 'know', 'avatar', 'pick', 'nowaday']",rick dunk nigga know avatar pick nowaday,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
74,91,2021-05-18 14:30:59+00:00,you guys seriouslywhy trend instead i think heart sham,attacking,"['you', 'guys', 'seriouslywhy', 'trend', 'instead', 'i', 'think', 'heart', 'sham']","['you', 'guy', 'seriouslywhi', 'trend', 'instead', 'i', 'think', 'heart', 'sham']",you guy seriouslywhi trend instead i think heart sham,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
75,93,2020-06-19 18:20:46+00:00,know really like ,neutral,"['know', 'really', 'like']","['know', 'realli', 'like']",know realli like,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,pos,0.444
76,94,2020-06-23 01:05:04+00:00,has arrested killing yr old teenagers chicago weekend i guess jistice brianna taylor we need justice everyone i sick making usa look like worst country on earth best country earth ,neutral,"['has', 'arrested', 'killing', 'yr', 'old', 'teenagers', 'chicago', 'weekend', 'i', 'guess', 'jistice', 'brianna', 'taylor', 'we', 'need', 'justice', 'everyone', 'i', 'sick', 'making', 'usa', 'look', 'like', 'worst', 'country', 'on', 'earth', 'best', 'country', 'earth']","['ha', 'arrest', 'kill', 'yr', 'old', 'teenag', 'chicago', 'weekend', 'i', 'guess', 'jistic', 'brianna', 'taylor', 'we', 'need', 'justic', 'everyon', 'i', 'sick', 'make', 'usa', 'look', 'like', 'worst', 'countri', 'on', 'earth', 'best', 'countri', 'earth']",ha arrest kill yr old teenag chicago weekend i guess jistic brianna taylor we need justic everyon i sick make usa look like worst countri on earth best countri earth,"{'neg': 0.325, 'neu': 0.471, 'pos': 0.204, 'compound': -0.7506}",-0.7506,neg,0.471
77,95,2021-05-06 17:13:39+00:00,a lot niggas raised like hoes ,offensive,"['a', 'lot', 'niggas', 'raised', 'like', 'hoes']","['a', 'lot', 'nigga', 'rais', 'like', 'hoe']",a lot nigga rai like hoe,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,pos,0.615
78,96,2021-05-13 14:56:49+00:00,nigga got chain too ,racism,"['nigga', 'got', 'chain', 'too']","['nigga', 'got', 'chain', 'too']",nigga got chain too,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
79,97,2021-05-17 15:09:51+00:00,zionist terrorist israel exist that i talking about you occupied palestinian land entire world noted that even jews knows zionist terrorist keep showing true colours happens next ,neutral,"['zionist', 'terrorist', 'israel', 'exist', 'that', 'i', 'talking', 'about', 'you', 'occupied', 'palestinian', 'land', 'entire', 'world', 'noted', 'that', 'even', 'jews', 'knows', 'zionist', 'terrorist', 'keep', 'showing', 'true', 'colours', 'happens', 'next']","['zionist', 'terrorist', 'israel', 'exist', 'that', 'i', 'talk', 'about', 'you', 'occupi', 'palestinian', 'land', 'entir', 'world', 'note', 'that', 'even', 'jew', 'know', 'zionist', 'terrorist', 'keep', 'show', 'true', 'colour', 'happen', 'next']",zionist terrorist israel exist that i talk about you occupi palestinian land entir world note that even jew know zionist terrorist keep show true colour happen next,"{'neg': 0.267, 'neu': 0.653, 'pos': 0.08, 'compound': -0.8225}",-0.8225,neg,0.653
80,98,2021-04-27 03:36:49+00:00,got way fucked think i taking advice nigga goodnight ,racism,"['got', 'way', 'fucked', 'think', 'i', 'taking', 'advice', 'nigga', 'goodnight']","['got', 'way', 'fuck', 'think', 'i', 'take', 'advic', 'nigga', 'goodnight']",got way fuck think i take advic nigga goodnight,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg,0.667
81,99,2021-05-02 04:22:52+00:00,how trans community participate sports pakistan this topic honestly divides mainstream feminism advocates trans girls play bio girls undeniable bio diff male female ,misogyny,"['how', 'trans', 'community', 'participate', 'sports', 'pakistan', 'this', 'topic', 'honestly', 'divides', 'mainstream', 'feminism', 'advocates', 'trans', 'girls', 'play', 'bio', 'girls', 'undeniable', 'bio', 'diff', 'male', 'female']","['how', 'tran', 'commun', 'particip', 'sport', 'pakistan', 'thi', 'topic', 'honestli', 'divid', 'mainstream', 'femin', 'advoc', 'tran', 'girl', 'play', 'bio', 'girl', 'undeni', 'bio', 'diff', 'male', 'femal']",how tran commun particip sport pakistan thi topic honestli divid mainstream femin advoc tran girl play bio girl undeni bio diff male femal,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.34}",0.34,pos,0.902
82,100,2021-05-31 22:06:30+00:00,fuck,offensive,['fuck'],['fuck'],fuck,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg,0.0
83,101,2021-05-31 23:16:00+00:00,like bank holiday something fuck,offensive,"['like', 'bank', 'holiday', 'something', 'fuck']","['like', 'bank', 'holiday', 'someth', 'fuck']",like bank holiday someth fuck,"{'neg': 0.327, 'neu': 0.187, 'pos': 0.486, 'compound': 0.1779}",0.1779,pos,0.187
84,102,2021-05-15 12:05:51+00:00,muslims stop funding israel if yes we no boycott,neutral,"['muslims', 'stop', 'funding', 'israel', 'if', 'yes', 'we', 'no', 'boycott']","['muslim', 'stop', 'fund', 'israel', 'if', 'ye', 'we', 'no', 'boycott']",muslim stop fund israel if ye we no boycott,"{'neg': 0.528, 'neu': 0.472, 'pos': 0.0, 'compound': -0.6908}",-0.6908,neg,0.472
85,104,2021-05-31 03:57:57+00:00,what fuck ,neutral,"['what', 'fuck']","['what', 'fuck']",what fuck,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg,0.222
86,105,2021-05-31 14:39:16+00:00,i woke like hour ago fuck cunt,offensive,"['i', 'woke', 'like', 'hour', 'ago', 'fuck', 'cunt']","['i', 'woke', 'like', 'hour', 'ago', 'fuck', 'cunt']",i woke like hour ago fuck cunt,"{'neg': 0.549, 'neu': 0.246, 'pos': 0.205, 'compound': -0.6369}",-0.6369,neg,0.246
87,107,2021-05-17 19:46:09+00:00,you know deserves your respect appreciation officer michael fanone amp rest capitol police risked lives protect colleagues violent murderous mob bidding lying trump ,neutral,"['you', 'know', 'deserves', 'your', 'respect', 'appreciation', 'officer', 'michael', 'fanone', 'amp', 'rest', 'capitol', 'police', 'risked', 'lives', 'protect', 'colleagues', 'violent', 'murderous', 'mob', 'bidding', 'lying', 'trump']","['you', 'know', 'deserv', 'your', 'respect', 'appreci', 'offic', 'michael', 'fanon', 'amp', 'rest', 'capitol', 'polic', 'risk', 'live', 'protect', 'colleagu', 'violent', 'murder', 'mob', 'bid', 'lie', 'trump']",you know deserv your respect appreci offic michael fanon amp rest capitol polic risk live protect colleagu violent murder mob bid lie trump,"{'neg': 0.311, 'neu': 0.523, 'pos': 0.166, 'compound': -0.7184}",-0.7184,neg,0.523
88,109,2021-05-17 13:44:19+00:00,israel terrorists country,attacking,"['israel', 'terrorists', 'country']","['israel', 'terrorist', 'countri']",israel terrorist countri,"{'neg': 0.701, 'neu': 0.299, 'pos': 0.0, 'compound': -0.6908}",-0.6908,neg,0.299
89,110,2021-05-15 13:32:52+00:00,good palestine friends too bye bye good riddance ,neutral,"['good', 'palestine', 'friends', 'too', 'bye', 'bye', 'good', 'riddance']","['good', 'palestin', 'friend', 'too', 'bye', 'bye', 'good', 'riddanc']",good palestin friend too bye bye good riddanc,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.8402}",0.8402,pos,0.357
90,111,2021-04-28 21:07:20+00:00,who believe true nature re rights youa coquettish cheerleader dilemma,mocking,"['who', 'believe', 'true', 'nature', 're', 'rights', 'youa', 'coquettish', 'cheerleader', 'dilemma']","['who', 'believ', 'true', 'natur', 're', 'right', 'youa', 'coquettish', 'cheerlead', 'dilemma']",who believ true natur re right youa coquettish cheerlead dilemma,"{'neg': 0.12, 'neu': 0.493, 'pos': 0.387, 'compound': 0.5859}",0.5859,pos,0.493
91,112,2021-05-17 23:23:36+00:00,hmm yeah maybe right arab country tell now time like want sympathy world now want strict action ,neutral,"['hmm', 'yeah', 'maybe', 'right', 'arab', 'country', 'tell', 'now', 'time', 'like', 'want', 'sympathy', 'world', 'now', 'want', 'strict', 'action']","['hmm', 'yeah', 'mayb', 'right', 'arab', 'countri', 'tell', 'now', 'time', 'like', 'want', 'sympathi', 'world', 'now', 'want', 'strict', 'action']",hmm yeah mayb right arab countri tell now time like want sympathi world now want strict action,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.6486}",0.6486,pos,0.64
92,113,2021-05-31 09:21:54+00:00,bath rn fuck loser fuck,offensive,"['bath', 'rn', 'fuck', 'loser', 'fuck']","['bath', 'rn', 'fuck', 'loser', 'fuck']",bath rn fuck loser fuck,"{'neg': 0.839, 'neu': 0.161, 'pos': 0.0, 'compound': -0.886}",-0.886,neg,0.161
93,114,2021-05-17 21:39:13+00:00,did say trump mob owned russian agent i believe finally thank you please provide evidence proof ,neutral,"['did', 'say', 'trump', 'mob', 'owned', 'russian', 'agent', 'i', 'believe', 'finally', 'thank', 'you', 'please', 'provide', 'evidence', 'proof']","['did', 'say', 'trump', 'mob', 'own', 'russian', 'agent', 'i', 'believ', 'final', 'thank', 'you', 'pleas', 'provid', 'evid', 'proof']",did say trump mob own russian agent i believ final thank you plea provid evid proof,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",0.3612,pos,0.848
94,115,2021-05-16 07:28:29+00:00,to oppressed people hold tight keep fight the victory yours to so called israel you know end close to hypocrites you remove post never bury truth fuck advance ,positive,"['to', 'oppressed', 'people', 'hold', 'tight', 'keep', 'fight', 'the', 'victory', 'yours', 'to', 'so', 'called', 'israel', 'you', 'know', 'end', 'close', 'to', 'hypocrites', 'you', 'remove', 'post', 'never', 'bury', 'truth', 'fuck', 'advance']","['to', 'oppress', 'peopl', 'hold', 'tight', 'keep', 'fight', 'the', 'victori', 'your', 'to', 'so', 'call', 'israel', 'you', 'know', 'end', 'close', 'to', 'hypocrit', 'you', 'remov', 'post', 'never', 'buri', 'truth', 'fuck', 'advanc']",to oppress peopl hold tight keep fight the victori your to so call israel you know end close to hypocrit you remov post never buri truth fuck advanc,"{'neg': 0.141, 'neu': 0.771, 'pos': 0.088, 'compound': -0.1808}",-0.1808,neg,0.771
95,116,2021-05-31 22:11:33+00:00,yeah looks evil fuck was going for ,offensive,"['yeah', 'looks', 'evil', 'fuck', 'was', 'going', 'for']","['yeah', 'look', 'evil', 'fuck', 'wa', 'go', 'for']",yeah look evil fuck wa go for,"{'neg': 0.56, 'neu': 0.284, 'pos': 0.156, 'compound': -0.7717}",-0.7717,neg,0.284
96,117,2021-05-17 18:11:54+00:00,damn israel hell ,offensive,"['damn', 'israel', 'hell']","['damn', 'israel', 'hell']",damn israel hell,"{'neg': 0.88, 'neu': 0.12, 'pos': 0.0, 'compound': -0.8074}",-0.8074,neg,0.12
97,118,2021-05-29 16:51:17+00:00,dicks fun,offensive,"['dicks', 'fun']","['dick', 'fun']",dick fun,"{'neg': 0.5, 'neu': 0.0, 'pos': 0.5, 'compound': 0.0}",0.0,neg,0.0
98,119,2021-05-06 06:07:29+00:00,hey i sold lovely gentleman i can need actual feminism again ,positive,"['hey', 'i', 'sold', 'lovely', 'gentleman', 'i', 'can', 'need', 'actual', 'feminism', 'again']","['hey', 'i', 'sold', 'love', 'gentleman', 'i', 'can', 'need', 'actual', 'femin', 'again']",hey i sold love gentleman i can need actual femin again,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}",0.6369,pos,0.656
99,120,2021-05-16 19:14:37+00:00,the global campaign support palestine press button tweet,positive,"['the', 'global', 'campaign', 'support', 'palestine', 'press', 'button', 'tweet']","['the', 'global', 'campaign', 'support', 'palestin', 'press', 'button', 'tweet']",the global campaign support palestin press button tweet,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,pos,0.722
100,122,2021-05-18 10:09:29+00:00,bro waste ur time social media women feminism dominated appeases women hrs later given single example patriarchy twitter girls use words know definition of anyting like men patriarchy,misogyny,"['bro', 'waste', 'ur', 'time', 'social', 'media', 'women', 'feminism', 'dominated', 'appeases', 'women', 'hrs', 'later', 'given', 'single', 'example', 'patriarchy', 'twitter', 'girls', 'use', 'words', 'know', 'definition', 'of', 'anyting', 'like', 'men', 'patriarchy']","['bro', 'wast', 'ur', 'time', 'social', 'media', 'women', 'femin', 'domin', 'appeas', 'women', 'hr', 'later', 'given', 'singl', 'exampl', 'patriarchi', 'twitter', 'girl', 'use', 'word', 'know', 'definit', 'of', 'anyt', 'like', 'men', 'patriarchi']",bro wast ur time social media women femin domin appea women hr later given singl exampl patriarchi twitter girl use word know definit of anyt like men patriarchi,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.3612}",0.3612,pos,0.915
101,123,2021-04-17 07:30:03+00:00,fuck feminism,misogyny,"['fuck', 'feminism']","['fuck', 'femin']",fuck femin,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg,0.222
102,124,2021-05-14 17:58:39+00:00,why closest niggas acting like opposite,racism,"['why', 'closest', 'niggas', 'acting', 'like', 'opposite']","['whi', 'closest', 'nigga', 'act', 'like', 'opposit']",whi closest nigga act like opposit,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,pos,0.667
103,125,2021-05-31 15:08:05+00:00,just want let know priority support compensated 150 fare issue resolved driver hey rides feels like good time fuck i quit,neutral,"['just', 'want', 'let', 'know', 'priority', 'support', 'compensated', '150', 'fare', 'issue', 'resolved', 'driver', 'hey', 'rides', 'feels', 'like', 'good', 'time', 'fuck', 'i', 'quit']","['just', 'want', 'let', 'know', 'prioriti', 'support', 'compens', '150', 'fare', 'issu', 'resolv', 'driver', 'hey', 'ride', 'feel', 'like', 'good', 'time', 'fuck', 'i', 'quit']",just want let know prioriti support compen 150 fare issu resolv driver hey ride feel like good time fuck i quit,"{'neg': 0.125, 'neu': 0.538, 'pos': 0.337, 'compound': 0.5994}",0.5994,pos,0.538
104,126,2021-05-15 21:22:37+00:00,dis nigga eating corndog meal day,racism,"['dis', 'nigga', 'eating', 'corndog', 'meal', 'day']","['di', 'nigga', 'eat', 'corndog', 'meal', 'day']",di nigga eat corndog meal day,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
105,127,2021-05-17 16:40:31+00:00,make mistakes world know afraid occupied amp siege yrs deny access clean water electricity facilities educatn freetrade meds supplies free movement more bomb them ,neutral,"['make', 'mistakes', 'world', 'know', 'afraid', 'occupied', 'amp', 'siege', 'yrs', 'deny', 'access', 'clean', 'water', 'electricity', 'facilities', 'educatn', 'freetrade', 'meds', 'supplies', 'free', 'movement', 'more', 'bomb', 'them']","['make', 'mistak', 'world', 'know', 'afraid', 'occupi', 'amp', 'sieg', 'yr', 'deni', 'access', 'clean', 'water', 'electr', 'facil', 'educatn', 'freetrad', 'med', 'suppli', 'free', 'movement', 'more', 'bomb', 'them']",make mistak world know afraid occupi amp sieg yr deni access clean water electr facil educatn freetrad med suppli free movement more bomb them,"{'neg': 0.115, 'neu': 0.689, 'pos': 0.197, 'compound': 0.3626}",0.3626,pos,0.689
106,128,2021-04-30 01:34:28+00:00,i seriously thought sitting floor eating like,neutral,"['i', 'seriously', 'thought', 'sitting', 'floor', 'eating', 'like']","['i', 'serious', 'thought', 'sit', 'floor', 'eat', 'like']",i seriou thought sit floor eat like,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,pos,0.667
107,129,2021-05-29 02:12:16+00:00,never realized expensive groceries till summer,neutral,"['never', 'realized', 'expensive', 'groceries', 'till', 'summer']","['never', 'realiz', 'expens', 'groceri', 'till', 'summer']",never realiz expen groceri till summer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
108,130,2021-05-31 16:29:39+00:00, i said yes going i remember having plans today statement plans implys i going to throw fit want fuck i guess ,neutral,"['i', 'said', 'yes', 'going', 'i', 'remember', 'having', 'plans', 'today', 'statement', 'plans', 'implys', 'i', 'going', 'to', 'throw', 'fit', 'want', 'fuck', 'i', 'guess']","['i', 'said', 'ye', 'go', 'i', 'rememb', 'have', 'plan', 'today', 'statement', 'plan', 'impli', 'i', 'go', 'to', 'throw', 'fit', 'want', 'fuck', 'i', 'guess']",i said ye go i rememb have plan today statement plan impli i go to throw fit want fuck i guess,"{'neg': 0.164, 'neu': 0.657, 'pos': 0.178, 'compound': -0.1779}",-0.1779,neg,0.657
109,131,2021-05-16 17:44:29+00:00,boycott israeli products possible b coz matter palestine,neutral,"['boycott', 'israeli', 'products', 'possible', 'b', 'coz', 'matter', 'palestine']","['boycott', 'isra', 'product', 'possibl', 'b', 'coz', 'matter', 'palestin']",boycott isra product possibl b coz matter palestin,"{'neg': 0.274, 'neu': 0.595, 'pos': 0.131, 'compound': -0.296}",-0.296,neg,0.595
110,132,2021-05-29 21:59:00+00:00,my tight hole hang better heavy big dick ,offensive,"['my', 'tight', 'hole', 'hang', 'better', 'heavy', 'big', 'dick']","['my', 'tight', 'hole', 'hang', 'better', 'heavi', 'big', 'dick']",my tight hole hang better heavi big dick,"{'neg': 0.27, 'neu': 0.492, 'pos': 0.238, 'compound': -0.1027}",-0.1027,neg,0.492
111,134,2021-05-15 20:18:29+00:00,crazy numbersof miles dick shit i afraid claim,offensive,"['crazy', 'numbersof', 'miles', 'dick', 'shit', 'i', 'afraid', 'claim']","['crazi', 'numbersof', 'mile', 'dick', 'shit', 'i', 'afraid', 'claim']",crazi numbersof mile dick shit i afraid claim,"{'neg': 0.58, 'neu': 0.42, 'pos': 0.0, 'compound': -0.7845}",-0.7845,neg,0.42
112,135,2020-07-13 05:26:27+00:00,why i hearing colorist support someone sike right now,offensive,"['why', 'i', 'hearing', 'colorist', 'support', 'someone', 'sike', 'right', 'now']","['whi', 'i', 'hear', 'colorist', 'support', 'someon', 'sike', 'right', 'now']",whi i hear colorist support someon sike right now,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,pos,0.722
113,136,2021-05-10 23:06:42+00:00,niggas gatekeeping corniest shit lolz,racism,"['niggas', 'gatekeeping', 'corniest', 'shit', 'lolz']","['nigga', 'gatekeep', 'corniest', 'shit', 'lolz']",nigga gatekeep corniest shit lolz,"{'neg': 0.35, 'neu': 0.291, 'pos': 0.359, 'compound': 0.0258}",0.0258,pos,0.291
114,137,2021-05-18 05:15:10+00:00,we stand israel,positive,"['we', 'stand', 'israel']","['we', 'stand', 'israel']",we stand israel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
