,index,Datetime,Text,lang,label,class
2915,3001,2020-01-30 17:34:29+00:00, realdonaldtrump foxandfriends i trump dreaming lost casinos ran fake university stole money charity let remind who s impeached stop lying resign dignity we know lying https t co n6s1xf8vvb,en,bully,0
2917,3003,2020-01-30 17:34:06+00:00, lindseygrahamsc you know trump forbid witnesses testify house you know recite garbage anyway he forbade knew tell truth america know guilty america knows guilty stop the insanity remove him from office ,en,bully,0
2918,3004,2020-01-30 17:33:48+00:00, drtyronewilson1 the difference trump asked foreign power help 2020 election ,en,bully,0
2920,3006,2020-01-30 17:33:31+00:00,biden quoting captsully decries culture cruelty says trump perpetuating eight years donald trump fundamentally change nature nation nature society let happen ,en,bully,0
2922,3008,2020-01-30 17:33:27+00:00, miafarrow so okay biden investigate trump children helps campaign ,en,bully,0
2927,3013,2020-01-30 17:33:10+00:00, lawhawk atrupar you didn t trumps message 12000 new factories 240 state built term far they environmentally friendly invisible factories ,en,bully,0
2930,3016,2020-01-30 17:32:46+00:00, lindseygrahamsc levparnas says entire ukraineextortion no wonder you re slimy anti constitution groveling boot lickin trump toady ,en,bully,0
2935,3021,2020-01-30 17:32:13+00:00, speakerpelosi you don t define acquitted american electorate we define acquitted potus trump overwhelmingly re elected november he able wear partisan impeachment badge pride amp courage i hope you ll present badge gold https t co czjvmphxf8,en,bully,0
2940,3026,2020-01-30 17:31:47+00:00, alandersh trump slips knife joe biden s ribs biden slumps ground trump shrugs hey act perpetrated win re election public interest dershowitz nods smiles the gop shrugs scene curtain falls u s democracy ,en,bully,0
2943,3030,2020-01-30 17:31:04+00:00,a trial witness window glass people read vote trump he s criminal it s wondered they re mentally incompetent normally people criminals charge he looks innocent look back https t co jyoyhtk2ad,en,bully,0
2945,3032,2020-01-30 17:30:54+00:00, marissa_arciero not this it s genuinely making upset day day trump supporters do not care not this double laugh faces genuinely concerned party lines ,en,bully,0
2946,3033,2020-01-30 17:30:47+00:00, danloney36 we identified trump s supporters early https t co xxks0xrwv1,en,bully,0
2950,3037,2020-01-30 17:30:21+00:00, alandersh wow i suggest alandersh listen context justifies trump necessary means necessary cling power ,en,bully,3
2953,3040,2020-01-30 17:30:05+00:00, msnbc nbcnews people ticked this open trump destroy us constitition constitutional rights know it god help us ,en,bully,0
2954,3041,2020-01-30 17:30:05+00:00, senthomtillis witness votes loom trump try scare accepting banana republic wannabe rule remember nc voters watching if choose trump country remember ensure chance representing again ,en,bully,0
2957,3044,2020-01-30 17:29:55+00:00, marissia briantaff6abc wasn t wonka chocolate factory trumps resemblance oompa loompas starting sense,en,bully,0
2959,3046,2020-01-30 17:29:52+00:00, seanhannity oh defend trump thing you guys talking heads so trump thinks best person job collude foreign government laws disgraceful ,en,bully,0
2963,3050,2020-01-30 17:29:35+00:00, alandersh your zipperhead epic proportions stay home your argument trump getting away crimes face punishment constitution is obsurd comprehension thank god mute button tv remote https t co gfutznv1sl,en,bully,0
2968,3055,2020-01-30 17:29:23+00:00, lindawarriorgal lisarossignolo mayor took people lied president donald trump run office get rid corrupt politicians ,en,bully,0
2969,3056,2020-01-30 17:29:21+00:00, muffkin7 breakfast tiffany trump s,en,bully,0
2973,3061,2020-01-30 17:28:48+00:00,we hypocrisy coming trump amp gop don t need bernie https t co fmatvj6s8b https t co kruof3mub2,en,bully,0
2976,3064,2020-01-30 17:28:33+00:00,then we re going bow reigning monarchs trump s never thought i d kneeling inferior idiot moronic family that s republicans want guess w vote election,en,bully,0
2980,3068,2020-01-30 17:28:07+00:00, inspiringu2 mitch votes hunter biden chooses too what s trade scam hunter biden mulvaney guiliani amp trump drug deal ,en,bully,0
2982,3071,2020-01-30 17:27:54+00:00, lindseygrahamsc you republicans mind trial started your bunch trump boot lickers you can t ways clinton impeachment senate called 17 witnesses didn t testify house justify that ,en,bully,0
2983,3072,2020-01-30 17:27:50+00:00,you re new senate culpable red senators me thinks party sink coma disgraceful blatant disregard constitution trump loser november shame n party ,en,bully,0
2986,3075,2020-01-30 17:27:10+00:00, ewarren there is senate already mcconnell sitting it talk trump hello that s we re today https t co v3ajrelupu,en,bully,0
2989,3078,2020-01-30 17:27:02+00:00, repadamschiff sorry schiff court jester not define exoneration president the american electorate define potus trump re elected november that s you overwhelming looks like no monarch no knights shining armor ,en,bully,0
2990,3079,2020-01-30 17:27:01+00:00, realdonaldtrump foxandfriends this tweet mr trump shows mentally deranged because schiff opposing actions doesn t corrupt back statements proof corrupt reveal evidence americans need know an allegation enough ,en,bully,0
2991,3080,2020-01-30 17:26:38+00:00, realdonaldtrump foxandfriends trump projecting again who s lost casinos ran fake university who s corrupt asked foreign country investigate political rival did who s impeached,en,bully,0
2992,3081,2020-01-30 17:26:17+00:00, glennkirschner2 exactly i tweeted there bottom trump controls doj the courts the military the executive branch the senate next press amp democrats rounded up in opinion it s best election if don t organize mobilize ,en,bully,0
2994,3083,2020-01-30 17:26:05+00:00, senalexander senatemajldr senatedems senategop senatorromney didn t hitler believe acting best intetest of dershowitz impeachmenttrial trump fraud senate house logic dershowitzlogic wewantwitnesess,en,bully,0
2996,3086,2020-01-30 17:25:37+00:00, lindseygrahamsc you ridiculous you re behavior disgraceful what trump you how support defend lying corrupt unfit inept irresponsibly ignorant man what happened impartialjustice remember friend johnmccain he defendourdemocracy ,en,bully,0
2997,3087,2020-01-30 17:25:34+00:00, better health care disposable income aka more free obama shit free phones life ain t free trump gone hand alarm clock lunch box gt realdonaldtrump maga2020 usatoday lt pssss you ain t gonna flip tennessee blue usa today https t co 8zykorj3oy,en,bully,0
2999,3089,2020-01-30 17:25:25+00:00, msnbc trump supporters unamerican we pledge allegiance flag republic the united states america trump s supporters allegiances trump trump alone they bringing brink civil war if end fire burn ,en,bully,0
3000,3090,2020-01-30 17:25:19+00:00, repadamschiff how do you sleep at night after all the lies you tell during the day you should be charged with a hate crime you need to ask president trump to forgive you ,en,bully,0
3002,3092,2020-01-30 17:25:06+00:00, just super bowl crowns greatest football team says winning like president donald trump stellar record accomplishment americans brad parscale trump 2020 s campaign manager said statement peak privilege display gross https t co 70hrhvqvlc,en,bully,0
3003,3093,2020-01-30 17:25:03+00:00, asharangappa_ he s backtracking bc he s getting annihilated press legal scholar bc words shred constitution damage republic knows it but served purpose gave republicans out crowed trump king he torched left reputation ,en,bully,0
3004,3095,2020-01-30 17:24:24+00:00,alan dershowitz defense l état c est trump https t co izg5zngrak newyorker,en,bully,0
3005,3096,2020-01-30 17:24:18+00:00,failed pathetic crook trump https t co 6zfkoruacb,en,bully,0
3008,3099,2020-01-30 17:23:38+00:00,there isn t single member crooked trump crime family isn t guilty eyeballs criminal actions personal profit https t co lhpy036u4k,en,bully,0
3010,3101,2020-01-30 17:23:26+00:00, sencorygardner who fixed you trump allowed hide witnesses senate world gopsenate complicit witnessesanddoucuments,en,bully,0
3013,3104,2020-01-30 17:22:46+00:00,america can do better than trump grifters https t co kki5xpecgo,en,bully,0
3015,3106,2020-01-30 17:22:31+00:00, linkedhd indeed how trump acquitted trial trial don t witnesses documented evidence ,en,bully,0
3019,3110,2020-01-30 17:21:06+00:00, neverrepublica1 thadddio peterdaou on election day 2 1 points isn t exactly smoking trump at end day that s exactly won popular vote neither candidate appealing american people they split vote got ec got greater evil https t co why6nt3o8q,en,bully,0
3020,3111,2020-01-30 17:21:00+00:00,trump supporters before going but hunter statements watch realize fed manipulated false investigation helps support corruption you better them they re bought trying buy facism https t co blhewgzils,en,bully,0
3022,3113,2020-01-30 17:20:51+00:00,please senategop don t trump enablers he s bad bad man he betrayed us cheat 2020 election mittromney lisamurkowski senatorcollins bensasse lamaralexander robportman jameslankford sentoomey corygardner senmcsallyaz senjohnthune senatorburr amp https t co 6xd3kyz4zt,en,bully,0
3024,3115,2020-01-30 17:20:32+00:00, elisestefanik pressrepublican bs every republican lies help trump look good promises bs they haven t worked for americans trump began destroying country ,en,bully,0
3031,3122,2020-01-30 17:18:56+00:00,i know u republicans don t believe thanks be to god not trump https t co 1ybxqcf8x1,en,bully,0
3034,3125,2020-01-30 17:18:15+00:00,with trump the stink same whether you pick ass or brain ,en,bully,0
3035,3126,2020-01-30 17:18:11+00:00, chrisvanhollen my wife works law enforcement need investigate democrats corruption hard came trump justice ways bidens sanders warren need investigating ,en,bully,0
3038,3129,2020-01-30 17:17:35+00:00,stating knowledge donald trump committed crime dishonored oath constitution citizens laws nation please ,en,bully,0
3039,3130,2020-01-30 17:17:29+00:00,you disgrace state country you elected represent people state job quit trump puppet https t co iarckgn6m1,en,bully,0
3041,3132,2020-01-30 17:17:17+00:00,lessons trump has taught our children lie lie lie cheat cheat cheat steal steal steal because when you just might get away with it ,en,bully,0
3043,3134,2020-01-30 17:17:11+00:00, mzhemingway love guy god defend trump in world left speak demeanor matters thet can t dispute shutting,en,bully,0
3045,3136,2020-01-30 17:16:54+00:00, mschlapp there need trump s desk you bumping noggins lindsey teddyand gaetz,en,bully,0
3047,3138,2020-01-30 17:16:34+00:00, errin_wroa judicialwatch realdonaldtrump dailycaller who lies 16000 time trump lol,en,bully,0
3048,3139,2020-01-30 17:16:21+00:00, alandersh just like said you re working trump you re working constitution uh yah you re going full giuliani right eyes never full giuliani ,en,bully,0
3049,3140,2020-01-30 17:16:21+00:00, wokemitt teapainusa alandersh who thought possible oh yes mr trump,en,bully,0
3050,3141,2020-01-30 17:16:20+00:00, brycetache oshkaykay this thing i said i totally agree you trump s lawyers green lighted turning america dictatorship if trump removed office atrocities gop joined opinion lawyers democracy dead ,en,bully,0
3051,3142,2020-01-30 17:16:17+00:00, andyostroy realdonaldtrump your idiot andy you jump trumps post little stalker bitch zero credibility get life ,en,bully,0
3052,3143,2020-01-30 17:15:58+00:00, lindseygrahamds do right thing please restore faith congress republicans lose vote acquit trump hear witnessses documents listen i don t care party president i care congress right thing ,en,bully,0
3054,3145,2020-01-30 17:15:47+00:00,looks like don t hear dem candidates in iowa but if trump goes we hear him what wrong msnbc cnn equal time like aren t reporters ,en,bully,0
3055,3146,2020-01-30 17:15:39+00:00,the senate trying defend trump they jury trump s defense team they gonna sorry gave careers narcissistic buffoon https t co hfsivwyxjy,en,bully,0
3057,3148,2020-01-30 17:15:25+00:00, senatorromney vote no witnessesanddocuments amp aquit realdonaldtrump you re voting allow all candidates foreign countries dirt opponents to allow every politician commit crimes it s opinion it s public s not trump,en,bully,0
3059,3150,2020-01-30 17:15:13+00:00, realdonaldtrump hey donald read the transcripts they perfect a perfect example don con requiring quid pro quo ukraine trump trumpsremovaltrial trumpisguilty trumpiscorrupt,en,bully,0
3060,3151,2020-01-30 17:15:13+00:00,so dershowitz says donald trump pretty wants reelected it s national interest would include murder ,en,bully,0
3063,3154,2020-01-30 17:14:50+00:00, senategop lisamurkowski you re suppose learned constitution america taught centuries foreign interference elections amp country wrong but now represent constitution going believe trump s lawyers no courage repubs,en,bully,0
3064,3155,2020-01-30 17:14:42+00:00,since trumps election we are becoming a lawless country a country of hate filled angry people this gop cult have allowed this to happen pitting us against eachother while trump turns our country into putins vacation country ,en,bully,0
3068,3159,2020-01-30 17:14:13+00:00,connie people lengths upend constitutional structure republic amp establish unitary executive trump king submit voters months later they won t we need plan accordingly https t co jtyvkijm4k,en,bully,0
3070,3161,2020-01-30 17:13:58+00:00, chrisvanhollen time stop interfering election spending time tax dollars democrat hate group trump house evidence bad ends china virus issues matter ,en,bully,0
3072,3163,2020-01-30 17:13:38+00:00,lmao trump re election public alan it s https t co m7g76naax3,en,bully,0
3073,3164,2020-01-30 17:13:31+00:00, chrismurphyct rudy who letter saw introduced trump s personal attorney ukrainian officials represented able influence official policy ,en,bully,0
3075,3166,2020-01-30 17:13:16+00:00,trump credo cut taxes millionaires billionaires corporations real basterd poor https t co 5pflqaaqbw,en,bully,0
3076,3167,2020-01-30 17:13:12+00:00, peacedividend1 aaronjmate as jordan repeatedly says investigation announcement ukraine got stuff we don t impeach think wanted withhold money pressure zelensky we try impeach trump things he didn t stop bus,en,bully,0
3077,3168,2020-01-30 17:13:11+00:00, sencorygardner spineless the majority americans wants witnesses document s want trump removed office wtf wrong spineless republicans,en,bully,0
3078,3169,2020-01-30 17:13:00+00:00,yes i believe that they know true the end white supremacy this exactly trump stands for https t co aifokiwcid,en,bully,0
3080,3171,2020-01-30 17:12:43+00:00, hurleyj44 berniesanders all people nominate normal person swing voters embrace trump toast you re going blow election again ,en,bully,0
3081,3172,2020-01-30 17:12:40+00:00,this trial farce sense word the senate loaded brim trumplicans going let walk this corrupt cabinet should nobody backbone stand trump gop https t co gog1iglqsf,en,bully,0
3082,3173,2020-01-30 17:12:26+00:00, jamesfabunmi this dictators created we k trump wants putin he putin s puppet ,en,bully,0
3083,3174,2020-01-30 17:12:20+00:00, elaineterreri evanmcmullin this hand hand dershowitz s opinion think it s country s interest it s ok because believe it s country s rule unhindered just it s country s trump overbill secret service golf carts,en,bully,0
3085,3176,2020-01-30 17:11:54+00:00,politico said trump trying new global crisis keeping quiet his tweets outbreak urged public stay calm applauded chinese efforts contain outbreak imagine better world kept quiet often ,en,bully,0
3086,3177,2020-01-30 17:11:49+00:00, realityhammer stoddard38 npr trump 2020 what happened 6 gdp growth promised sucker,en,bully,0
3087,3178,2020-01-30 17:11:44+00:00, realdonaldtrump foxandfriends lying donny trump teamrussia traitor draft dodger con man,en,bully,0
3088,3179,2020-01-30 17:11:29+00:00, senategop do jobs impartial jurors hear evidence you check executive branch if trump unfit crooked traitorinchief remove him have read constitution are gopsenators goptraitors dotherightthing ,en,bully,0
3093,3184,2020-01-30 17:11:21+00:00,a view reporters crowd waiting joebiden s event waukee begin morning far reporters today normally follow biden president donald trump iowa tonight rally des moines four days iacaucus https t co v2msbaezgk,en,bully,0
3095,3186,2020-01-30 17:11:09+00:00, realdonaldtrump foxandfriends actually donald i sure repadamschiff tired necessary impeachment trial already but honest ethical man level best after all office spreading hate divisiveness fucking country up trump,en,bully,0
3096,3187,2020-01-30 17:11:04+00:00, bheg stoddard38 npr trump 2020 i believe that you believe trump tells you 6 gdp growth 4 000 wage increase tax cuts pay themselves mexico pay wall you enjoy lied trump ,en,bully,0
3097,3188,2020-01-30 17:11:02+00:00, elisestefanik you wit announcing congress investigate trump s impeachment hearings appears dysfunctional why republicans theirs shoes right foot precursor inability think logical conclusions https t co qcacko9r9p,en,bully,0
3098,3189,2020-01-30 17:11:02+00:00,if trump can get away with everything sex work should be decriminalized there will be no more laws in this country https t co 14pzjtozpo,en,bully,0
3100,3191,2020-01-30 17:10:38+00:00, tattybonce olganyc1211 realdonaldtrump senategop housegop senjohnbarrasso poppyharlowcnn jimsciutto housedemocrats senatedems what journalists constitutional scholars need bring alandersh giving trump reason think shoot middle 5th avenue long claims it s in national interest and entire senategop dutifully nodding heads ,en,bully,0
3103,3194,2020-01-30 17:10:14+00:00,and got oval office visit i guess ukraine president corrupt trump https t co zchrkcm4q1,en,bully,0
3104,3195,2020-01-30 17:10:14+00:00, repjimbanks i m sure trump s attention soon so looking job administration ,en,bully,3
3105,3196,2020-01-30 17:10:12+00:00,republicans move block impeachment witnesses driving toward acquittal efforts bring wavering republicans line appeared working trump s lawyers argued president win re election in public interest https t co 0eibdpbagk,en,bully,0
3106,3197,2020-01-30 17:10:07+00:00, justtomedwards it s pretty apparent trump s base thinks special dispensation immunity coming trump cuts social security medicare usda etc they re rude awakening he s re elected ,en,bully,0
3107,3198,2020-01-30 17:10:03+00:00, atrupar and soulless thinking trump about ,en,bully,0
3108,3199,2020-01-30 17:09:59+00:00, gop senatemajldr mittromney sendavidperdue senalexander so gop stands for anything goes means keeping trump office let s happy people dying means jobs trump america https t co gp89xnhihr,en,bully,0
3109,3200,2020-01-30 17:09:58+00:00, realdonaldtrump never fully aquitted he won t vindicated his name associated corruption senategop shall always known condoning corruption they think keeping trump keeps power help office how cheating,en,bully,0
3110,3201,2020-01-30 17:09:57+00:00, delavegalaw grannieof10kids housedemocrats might forget trump giuliani neither capable telling truth ,en,bully,3
3111,3202,2020-01-30 17:09:41+00:00, curtisrobin cnbc the real problem americans lazy fact check if receive disinformation fact check it it s odd try protect people country it s bad thing people support trump love he s removing protections them ,en,bully,0
3116,3207,2020-01-30 17:09:30+00:00, robreiner jazzieb23 we country free country trump 2020 ,en,bully,0
3120,3211,2020-01-30 17:09:12+00:00,is trump town better worse hooverville https t co awobdvqthd,en,bully,0
3121,3212,2020-01-30 17:09:06+00:00,trump doesn t know daughter named ivanka now says knows 3 million greek americans okboomer https t co kucaokrr3r,en,bully,0
3124,3215,2020-01-30 17:08:48+00:00, evanmcmullin they power trump basically trumps bitches ,en,bully,0
3125,3216,2020-01-30 17:08:46+00:00, whitehouse turkey trmp tower saudia arabia trump properties russia trump wants tower who got rid kurds 4 turkey russia and protect saudis trump,en,bully,0
3126,3217,2020-01-30 17:08:45+00:00, teaboots patriots the red wave is growing keeping america great we want the peoples president trump winning ,en,bully,0
3127,3218,2020-01-30 17:08:37+00:00,important thread alan dershowitz pretends respected law professors agree laughable excuses realdonaldtrump impeachable behavior well went cnn amp pushed in words trump bigly https t co kccjvi1kmb,en,bully,0
3130,3221,2020-01-30 17:08:18+00:00, rollcall senator rand paul s apparent insistence asking question whistleblower suggests wants hero president donald trump and president vladimir putin well protecting protege washington does hope richly rewarded ,en,bully,0
3131,3222,2020-01-30 17:08:18+00:00, newyorker mcsean75 he trump s impeachment trial precedent witnesses suppressing evidence ,en,bully,0
3133,3224,2020-01-30 17:08:16+00:00, lamaralexander csexton25 please restore faith congress do right thing allowing witnesses documents you vote acquit trump america hears rest evidence let believe checks balances work we don t want king america ,en,bully,0
3135,3226,2020-01-30 17:08:13+00:00,so trump s greatest export peace plan a wall is kushner s 25books said https t co kw8amqvhaf,en,bully,0
3137,3228,2020-01-30 17:08:07+00:00, tikiroomvintage stoddard38 npr trump 2020 only stupid voting system minnesota paper ballots process goes smoothly even trump supporters figure out https t co huobh9xdoi,en,bully,0
3139,3230,2020-01-30 17:08:01+00:00,look them and mitch mcconnell s senatemajldr wife elaine chao elainechao secretary transportation trump s cabinet let wants https t co jcoccddojs,en,bully,0
3142,3233,2020-01-30 17:07:37+00:00,over 175 000 tickets requested trump wildwood nj this southern jersey historically gop country for don t know screams against polls this strong donkey country amp donkeys hard change https t co lqys7lud0h,en,bully,0
3147,3239,2020-01-30 17:06:30+00:00, roreed3 sherrimcc_ _reaalamerican_ jim_jordan sweetie do mind i sweetie good we re americans we re all going deal shit left administration like trash left site wwf smackdown trump rally https t co n5u40pktss,en,bully,0
3148,3240,2020-01-30 17:06:29+00:00, free_thinker101 walshfreedom ok free thinker you re apart trump cult i longer educated conversation you good day you ,en,bully,0
3150,3242,2020-01-30 17:06:25+00:00, ambjohnbolton 24 hours right save country authoritarian rule please press conference tell country know relevant impeachment donald trump ,en,bully,0
3151,3243,2020-01-30 17:06:21+00:00, susan_hennessey speaking mcsally i dont know picture primary lose mccain shouldn t example gop shouldnt fear trumps threats primary dont tow line ,en,bully,0
3152,3244,2020-01-30 17:05:52+00:00, biden narrowly leads sanders texas poll finds bernie best dem matchup vs trump https t co bmzoh1ooep i m convinced 2020elections,en,bully,0
3153,3245,2020-01-30 17:05:22+00:00, davidhearn222 get fucking life david trump s crooked come you re buying it ,en,bully,0
3154,3246,2020-01-30 17:05:15+00:00, cnn that s trumps policies,en,bully,0
3155,3247,2020-01-30 17:05:12+00:00, georgetakei you know george this week isn t looking like week the gop gaming trumpcoverup trump s daily dismissal continued life planet continues where s hope thing dershowitzlogic land desolate,en,bully,0
3157,3249,2020-01-30 17:04:29+00:00, gop realdonaldtrump considering administration lies everything thought was who trump cdc lie him i ll evidence i believe this corruptgop,en,bully,0
3159,3251,2020-01-30 17:04:22+00:00,my republicans friends i curious know feel new trump defense team strategy potus absolute immunity amp executive branch s power essentially unchecked when elect king is voted for what obama this ,en,bully,0
3164,3257,2020-01-30 17:03:08+00:00,as need reason defat enemy democracy environment rule law we don t need senator heat seeking missile trump s rear end hickforcoussenator https t co eoxzpyhuls,en,bully,0
3168,3261,2020-01-30 17:03:01+00:00, senategop let potus away corruption amp obstructing congress citing hunter biden real issue shouldn t investigate ivankatrump amp chinese patents received trump s office shouldn t investigate jared s loans saudis fair fair,en,bully,0
3169,3262,2020-01-30 17:02:57+00:00, sexcounseling realdonaldtrump it s trump wants rush job amp witnesses amp mitch he s tool republicans afraid trump kick butt fear amp lies amp corruption,en,bully,0
3174,3267,2020-01-30 17:02:40+00:00,i ashamed comes trump white house this pathetic exactly opposite i want role model and it s true don t need know whistleblower info proven out https t co f3v9ksjrfl,en,bully,0
3175,3268,2020-01-30 17:02:35+00:00,here medicaid overhaul children uninsured amp elderly nursing homes streets trump hurts people enrich amp corrupt cronies removetrump votethemout votebluetosaveamerica healthcareisaright https t co jo5huqtlvz,en,bully,0
3176,3269,2020-01-30 17:02:31+00:00, davidafrench this true lot people sat 2016 myself included look trump vs bernie seriously consider vote trump proud avowed socialist office ,en,bully,0
3183,3277,2020-01-30 17:01:30+00:00, chrismurphyct if senate impeach try censure mr trump gets reprimanded acquitted ,en,bully,0
3184,3278,2020-01-30 17:01:19+00:00,bolton wants cash trump lottery ticket https t co 1izbupjeh4,en,bully,0
3185,3279,2020-01-30 17:01:14+00:00,we watching doyourjob witnessesanddocuments impeachment impeachment trial senators ask questions new phase president trump s trial impeachmenttrial https t co 6ve3wh3w7w,en,bully,0
3186,3280,2020-01-30 17:00:59+00:00, rickcastaneda52 pfroni2 sexcounseling realdonaldtrump trump talked ukraine corruption nations needing fair share you think ok country pay everything use it finally president looks americans do try impeach him american haters ,en,bully,0
3187,3281,2020-01-30 17:00:56+00:00, tommy_salami msnbc arimelber gop yes fun people like you it easy you ll cult trump suckers https t co vh00tey142,en,bully,0
3188,3282,2020-01-30 17:00:48+00:00, whitehouse march washington dc trump walks away,en,bully,0
3189,3283,2020-01-30 17:00:33+00:00, dragontat2 ooolson amorgaia capehartj maybe like policies maybe think beat trump maybe he s effort earning votes maybe bunch white liberals condescending supporting biden ,en,bully,0
3193,3288,2020-01-30 17:00:02+00:00,about piece wall falling mexico they left big key fact concrete hadn t dried yet let s face it msm people hate president trump good leaving important facts they absolute joke ,en,bully,0
3194,3289,2020-01-30 17:00:02+00:00, charliekirk11 realdonaldtrump trump support great americans people working legal americans strong that s dems option try impeech ,en,bully,0
3195,3290,2020-01-30 16:59:58+00:00, kenghazi we shouldn t let donald trump pick opponents,en,bully,0
3196,3291,2020-01-30 16:59:57+00:00, chriswpete darkman1558 i think way one simplistic comes donald trump a lot things align position in ,en,bully,0
3199,3294,2020-01-30 16:59:36+00:00, terp80 lizmair no actually nixon worried scoop jackson ed muskie because dirty tricks got candidate wanted mcgovern in instance trump wants warren sanders,en,bully,0
3201,3296,2020-01-30 16:59:22+00:00,ss government promise trust you invested gov t insured annuity the us invests our 2 9 trillion surplus year and your fdic contributions 30 50 years annuity retirement trump wants profit earnings https t co ivuhwaguyn,en,bully,0
3202,3297,2020-01-30 16:59:21+00:00, senjohnhoeven kevincramer witnesses and documents you guys need fully explore issue you know people know he s crook even ardent supporters nd supporters republican party trump is ,en,bully,0
3203,3298,2020-01-30 16:59:21+00:00,what joke trump amp border wall is https t co w04kyyww91,en,bully,0
3205,3300,2020-01-30 16:59:12+00:00, adam_h998 ryanstruyk my eyes open i don t care trump s alleged moral faults i care he s america strongest prosperous country earth ,en,bully,0
3206,3301,2020-01-30 16:59:11+00:00, leearenberg donald jackass trump absolutely ethics those support better ,en,bully,0
3207,3302,2020-01-30 16:59:09+00:00,president trump s remarkable patriotism by it s very nature shines profusely upon the greed and corruption that eats at the very core of our republic those who have made careers of service in the realm of politics have insulted the founders in the most intense way https t co nyvncuxbte,en,bully,0
3208,3303,2020-01-30 16:59:07+00:00, thesalzereffect uniteblue oh yeah liberal if think like bot democrats lying jerks they americans if want live socialism socialist country we accept here trump 2020 ,en,bully,0
3209,3304,2020-01-30 16:59:01+00:00, markrenton_sa davidyankovich democracystorm dougjones dude doug jones highest anti trump score senate you research saying stupid things like that https t co wxhotq9cyo,en,bully,0
3211,3306,2020-01-30 16:58:25+00:00, donnajulien3 gogreenstrong hooah69 are honest insightful think donald trump through want life they illegally tapped phones bugged offices amp spies reporting him but declare obstructing congress crime not ,en,bully,0
3212,3307,2020-01-30 16:58:04+00:00, roreed3 sherrimcc_ _reaalamerican_ jim_jordan you poor stupid child they all take justify trump s kids working white house oh wait it s biden i forgot i think you re rude awakening the emperor clothes on ,en,bully,0
3213,3308,2020-01-30 16:57:44+00:00, randpaul side show freak leave whistle blower alone you know law whistle blowers trump lying good crook lawless mad way ,en,bully,0
3214,3309,2020-01-30 16:57:40+00:00, cillizzacnn deeply entrenched rule law right vs wrong i ll it i rule law trump ,en,bully,0
3215,3310,2020-01-30 16:57:38+00:00, anandwrites this mike bloomberg s like 200th mayoral endorsement directly connected recent bloomberg philanthropic grant bloomberg s campaign joke votes betraying democracy surely voting despot trump ,en,bully,0
3216,3311,2020-01-30 16:57:36+00:00, senmcsallyaz from outward behavior don t all but maybe don t understand value constitution you should you fought it but i vote campaign kowtows trump opposite patriot ,en,bully,0
3217,3312,2020-01-30 16:57:31+00:00, too2_i therickwilson dcexaminer dailycaller gopchairwoman hitler s propaganda minister goebbels said a lie told remains lie lie told 1000 times truth millions believed lies like millions americans believe fox highly paid propaganda media trump s playbook ,en,bully,0
3218,3313,2020-01-30 16:57:20+00:00, darrin47491882 cnn bingo and hitler won election popular vote head state this underlying fact profoundly forgotten germans underestimated hitler americans underestimated trump damn sure underestimate level corruption us senate ,en,bully,0
3220,3315,2020-01-30 16:57:11+00:00,if trump administration and real good squeeze you ll need department sanitation to come clean piles sleeze ,en,bully,0
3223,3318,2020-01-30 16:56:57+00:00,alan dershowitz job defend underage girls sex partners trump s sex buddy https t co u3q55kwbe1,en,bully,0
3224,3319,2020-01-30 16:56:57+00:00, rogue5602 roper_93 shoreboy1961 of course as far they re concerned everything obama s fault but don t know we re going trump drag handcuffs https t co doybfpi2ts,en,bully,0
3227,3322,2020-01-30 16:56:35+00:00,lmaooooo trump s wall border got blown away wind ,en,bully,0
3228,3323,2020-01-30 16:56:34+00:00, realdonaldtrump enjoy pomp circumstance president can donald trump even republican senators sufficiently intimidated threat wind pike appeal cold hard cash totally guarantee exoneration senate impeachment trial ,en,bully,0
3229,3324,2020-01-30 16:56:23+00:00, alandersh i watched it thing you gave trump pass colluding foreign governments dirt manufactured political opponents it s national interest that crime i hope harvard heard too shame,en,bully,0
3231,3326,2020-01-30 16:56:08+00:00, joebiden hi joe we re rooting you i ll admit sure got bewildered elderly policies ready confuse trump bring knees keep going got one ,en,bully,0
3233,3328,2020-01-30 16:55:57+00:00,crying chuck schumer attend trial alan dershowitz president councils educate constitution impeachment every time press conference lied american people they 17 witnesses wants trump nothing ,en,bully,0
3236,3331,2020-01-30 16:55:33+00:00,trump acquittal if republicans vote witnesses collectively endorsed complicit cover up americans need turn november oust republicans trump truly acquitted ,en,bully,0
3237,3332,2020-01-30 16:55:33+00:00,so question i ask impeachment trump senate trial remove office beginning end imperial presidency end beginning ,en,bully,0
3238,3333,2020-01-30 16:55:21+00:00,look around folks look at what trump and his gop goones have done to this country we have an administration built on lies corruption hate they have placed us in danger ,en,bully,0
3239,3334,2020-01-30 16:55:03+00:00,we watching progress country 244 years destroyed impeachment trial to 100 000 000 didn t vote 2016 this fault ones trump cult laziness apathy carry great cost ,en,bully,0
3241,3336,2020-01-30 16:54:46+00:00, bill_maxwell_ trump vegetable then i believe gop cabinet prop hide truth maintain control executive branch execute authoritarian agenda ,en,bully,0
3242,3337,2020-01-30 16:54:27+00:00,let s perfectly clear means the trump administration want ratify era they believe constitution explicitly guarantee equal rights sex https t co stzkxeyt9y,en,bully,0
